timestamps,OBJ_Abs_Long_Velocity_10_proc_Sensor_disp,OBJ_Abs_Long_Velocity_11_proc_Sensor_disp,OBJ_Abs_Long_Velocity_12_proc_Sensor_disp,OBJ_Abs_Long_Velocity_1_proc_Sensor_disp,OBJ_Abs_Long_Velocity_2_proc_Sensor_disp,OBJ_Abs_Long_Velocity_3_proc_Sensor_disp,OBJ_Abs_Long_Velocity_4_proc_Sensor_disp,OBJ_Abs_Long_Velocity_5_proc_Sensor_disp,OBJ_Abs_Long_Velocity_6_proc_Sensor_disp,OBJ_Abs_Long_Velocity_7_proc_Sensor_disp,OBJ_Abs_Long_Velocity_8_proc_Sensor_disp,OBJ_Abs_Long_Velocity_9_proc_Sensor_disp,OBJ_Heading_10_proc_Sensor_disp,OBJ_Heading_11_proc_Sensor_disp,OBJ_Heading_12_proc_Sensor_disp,OBJ_Heading_1_proc_Sensor_disp,OBJ_Heading_2_proc_Sensor_disp,OBJ_Heading_3_proc_Sensor_disp,OBJ_Heading_4_proc_Sensor_disp,OBJ_Heading_5_proc_Sensor_disp,OBJ_Heading_6_proc_Sensor_disp,OBJ_Heading_7_proc_Sensor_disp,OBJ_Heading_8_proc_Sensor_disp,OBJ_Heading_9_proc_Sensor_disp,OBJ_ID_10_proc_Sensor_disp,OBJ_ID_11_proc_Sensor_disp,OBJ_ID_12_proc_Sensor_disp,OBJ_ID_1_proc_Sensor_disp,OBJ_ID_2_proc_Sensor_disp,OBJ_ID_3_proc_Sensor_disp,OBJ_ID_4_proc_Sensor_disp,OBJ_ID_5_proc_Sensor_disp,OBJ_ID_6_proc_Sensor_disp,OBJ_ID_7_proc_Sensor_disp,OBJ_ID_8_proc_Sensor_disp,OBJ_ID_9_proc_Sensor_disp,OBJ_Lat_Distance_10_proc_Sensor_disp,OBJ_Lat_Distance_11_proc_Sensor_disp,OBJ_Lat_Distance_12_proc_Sensor_disp,OBJ_Lat_Distance_1_proc_Sensor_disp,OBJ_Lat_Distance_2_proc_Sensor_disp,OBJ_Lat_Distance_3_proc_Sensor_disp,OBJ_Lat_Distance_4_proc_Sensor_disp,OBJ_Lat_Distance_5_proc_Sensor_disp,OBJ_Lat_Distance_6_proc_Sensor_disp,OBJ_Lat_Distance_7_proc_Sensor_disp,OBJ_Lat_Distance_8_proc_Sensor_disp,OBJ_Lat_Distance_9_proc_Sensor_disp,OBJ_Length_10_proc_Sensor_disp,OBJ_Length_11_proc_Sensor_disp,OBJ_Length_12_proc_Sensor_disp,OBJ_Length_1_proc_Sensor_disp,OBJ_Length_2_proc_Sensor_disp,OBJ_Length_3_proc_Sensor_disp,OBJ_Length_4_proc_Sensor_disp,OBJ_Length_5_proc_Sensor_disp,OBJ_Length_6_proc_Sensor_disp,OBJ_Length_7_proc_Sensor_disp,OBJ_Length_8_proc_Sensor_disp,OBJ_Length_9_proc_Sensor_disp,OBJ_Long_Distance_10_proc_Sensor_disp,OBJ_Long_Distance_11_proc_Sensor_disp,OBJ_Long_Distance_12_proc_Sensor_disp,OBJ_Long_Distance_1_proc_Sensor_disp,OBJ_Long_Distance_2_proc_Sensor_disp,OBJ_Long_Distance_3_proc_Sensor_disp,OBJ_Long_Distance_4_proc_Sensor_disp,OBJ_Long_Distance_5_proc_Sensor_disp,OBJ_Long_Distance_6_proc_Sensor_disp,OBJ_Long_Distance_7_proc_Sensor_disp,OBJ_Long_Distance_8_proc_Sensor_disp,OBJ_Long_Distance_9_proc_Sensor_disp,OBJ_Object_Class_10_proc_Sensor_disp,OBJ_Object_Class_11_proc_Sensor_disp,OBJ_Object_Class_12_proc_Sensor_disp,OBJ_Object_Class_1_proc_Sensor_disp,OBJ_Object_Class_2_proc_Sensor_disp,OBJ_Object_Class_3_proc_Sensor_disp,OBJ_Object_Class_4_proc_Sensor_disp,OBJ_Object_Class_5_proc_Sensor_disp,OBJ_Object_Class_6_proc_Sensor_disp,OBJ_Object_Class_7_proc_Sensor_disp,OBJ_Object_Class_8_proc_Sensor_disp,OBJ_Object_Class_9_proc_Sensor_disp,OBJ_Width_10_proc_Sensor_disp,OBJ_Width_11_proc_Sensor_disp,OBJ_Width_12_proc_Sensor_disp,OBJ_Width_1_proc_Sensor_disp,OBJ_Width_2_proc_Sensor_disp,OBJ_Width_3_proc_Sensor_disp,OBJ_Width_4_proc_Sensor_disp,OBJ_Width_5_proc_Sensor_disp,OBJ_Width_6_proc_Sensor_disp,OBJ_Width_7_proc_Sensor_disp,OBJ_Width_8_proc_Sensor_disp,OBJ_Width_9_proc_Sensor_disp
114.121023,-100,-100,-100,7.150408745,5.650403023,8.050412178,11.45042515,-0.149619102,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.019996986,-0.010002985,-0.070002928,-0.11000289,-2.99E-06,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,213,180,0,0,0,0,-100,-100,-100,1.550387383,6.000404358,-7.249646187,-9.149653435,-0.749621391,-100,-100,-100,-100,0,0,0,13.15005016,9.600036621,14.0500536,6.250023842,0.600002289,0,0,0,0,-200,-200,-200,78.05106068,26.40086365,112.2011909,68.95102596,5.250782967,-200,-200,-200,-200,0,0,0,2,2,2,1,5,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,1.909998178,0.549999475,0,0,0,0
114.1640113,-100,-100,-100,7.150408745,5.700403214,8.050412178,11.45042515,-0.149619102,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.029996977,-0.010002985,-0.070002928,-0.11000289,-2.99E-06,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.550387383,6.000404358,-7.249646187,-9.199653625,-0.799621582,-100,-100,-100,-100,0,0,0,13.15005016,9.600036621,14.0500536,6.250023842,0.600002289,0,0,0,0,-200,-200,-200,78.25106144,26.55086422,112.4511919,69.3010273,5.250782967,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,1.909998178,0.549999475,0,0,0,0
114.1893152,-100,-100,-100,7.250409126,6.600406647,8.000411987,0.00038147,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,-2.99E-06,0.049996958,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.450387001,6.000404358,-7.249646187,-0.999622345,-100,-100,-100,-100,-100,0,0,0,13.20005035,9.50003624,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,78.65106297,26.70086479,112.8511934,5.300783157,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,0.459999561,0,0,0,0,0
114.2364848,-100,-100,-100,7.250409126,6.600406647,8.000411987,0.00038147,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,-2.99E-06,0.049996958,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.450387001,6.000404358,-7.249646187,-0.999622345,-100,-100,-100,-100,-100,0,0,0,13.20005035,9.50003624,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,78.65106297,26.70086479,112.8511934,5.300783157,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,0.459999561,0,0,0,0,0
114.264749,-100,-100,-100,7.250409126,6.600406647,8.000411987,0.00038147,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.009996996,0.049996958,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.450387001,6.050404549,-7.299646378,-1.099622726,-100,-100,-100,-100,-100,0,0,0,13.20005035,9.50003624,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,79.05106449,27.10086632,113.3011951,5.300783157,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,0.459999561,0,0,0,0,0
114.3144407,-100,-100,-100,7.250409126,6.600406647,8.000411987,0.00038147,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.009996996,0.049996958,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.450387001,6.050404549,-7.299646378,-1.099622726,-100,-100,-100,-100,-100,0,0,0,13.20005035,9.50003624,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,79.05106449,27.10086632,113.3011951,5.300783157,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.329997778,2.549997568,0.459999561,0,0,0,0,0
114.3299109,-100,-100,-100,7.300409317,6.8504076,8.000411987,-0.049618721,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,-0.030002966,0.059996948,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.300386429,5.950404167,-7.299646378,-1.199623108,-100,-100,-100,-100,-100,0,0,0,13.20005035,8.85003376,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,79.45106602,26.90086555,113.7511969,5.250782967,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.319997787,2.549997568,0.479999542,0,0,0,0,0
114.3749943,-100,-100,-100,7.350409508,6.900407791,8.000411987,-0.049618721,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,-0.010002985,0.059996948,-0.070002928,-2.99E-06,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,180,0,0,0,0,0,-100,-100,-100,1.300386429,5.950404167,-7.349646568,-1.299623489,-100,-100,-100,-100,-100,0,0,0,13.20005035,8.85003376,14.0500536,0.600002289,0,0,0,0,0,-200,-200,-200,79.85106754,27.30086708,114.2011986,5.250782967,-200,-200,-200,-200,-200,0,0,0,2,2,2,5,0,0,0,0,0,0,0,0,2.249997854,2.319997787,2.549997568,0.479999542,0,0,0,0,0
114.3939058,-100,-100,-100,7.450409889,7.200408936,8.000411987,-100,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.009996996,0.049996958,-0.070002928,-3.14,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,0,0,0,0,0,0,-100,-100,-100,1.250386238,5.900403976,-7.349646568,-100,-100,-100,-100,-100,-100,0,0,0,13.15005016,8.250031471,14.0500536,0,0,0,0,0,0,-200,-200,-200,80.05106831,27.40086746,114.4011993,-200,-200,-200,-200,-200,-200,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2.249997854,2.299997807,2.549997568,0,0,0,0,0,0
114.4411644,-100,-100,-100,7.450409889,7.200408936,8.000411987,-100,-100,-100,-100,-100,-100,-3.14,-3.14,-3.14,0.019996986,0.049996958,-0.070002928,-3.14,-3.14,-3.14,-3.14,-3.14,-3.14,0,0,0,254,226,131,0,0,0,0,0,0,-100,-100,-100,1.250386238,5.900403976,-7.349646568,-100,-100,-100,-100,-100,-100,0,0,0,13.15005016,8.250031471,14.0500536,0,0,0,0,0,0,-200,-200,-200,80.30106926,27.60086823,114.6512003,-200,-200,-200,-200,-200,-200,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2.249997854,2.299997807,2.549997568,0,0,0,0,0,0
