timestamps,VbINP_IVPresent_flg,VeAGSM_ConftPathValid_enum,VeINP_IVClass,VfAGSM_1ConftPathLength_m,VfAGSM_1ConftPathTypC3_co,VfAGSM_2ConftPathLength_m,VfAGSM_2ConftPathTypC3_co,VfAGSM_3ConftPathLength_m,VfAGSM_3ConftPathTypC3_co,VfAGSM_ConftPathTypC0_m,VfAGSM_ConftPathTypC1_rad,VfAGSM_ConftPathTypC2_co,VfAGSM_LHLaneMkr0C0_m,VfAGSM_LHLaneMkr0C1_rad,VfAGSM_LHLaneMkr0C2_co,VfAGSM_LHLaneMkr0C3_co,VfAGSM_LHLaneMkr0EdRange_m,VfAGSM_LHLaneMkr0StRange_m,VfAGSM_LHLaneMkr1C0_m,VfAGSM_LHLaneMkr1C1_rad,VfAGSM_LHLaneMkr1C2_co,VfAGSM_LHLaneMkr1C3_co,VfAGSM_LHLaneMkr1EdRange_m,VfAGSM_LHLaneMkr1StRange_m,VfAGSM_VehicleSpd_mps,VfINP_IVAcc_mpss,VfINP_IVHeading_rad,VfINP_IVLaDis_m,VfINP_IVLaSpd_mps,VfINP_IVLgDis_m,VfINP_IVV_mps
1.01882986,0,1,0,25.71235657,-1.38E-06,40,-6.80E-07,51.81479645,0,-0.138237879,0.008547083,-7.36E-06,-1.461157322,-0.00881958,2.77E-05,9.82E-07,57.58999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.04820546,0,1,0,25.71235657,-1.37E-06,40,-6.80E-07,51.82019806,0,-0.138323933,0.008556635,-7.37E-06,-1.461157322,-0.00881958,2.77E-05,9.82E-07,57.58999634,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.079810346,0,1,0,25.71235657,-1.37E-06,40,-6.80E-07,51.82559967,0,-0.138380691,0.008563282,-7.37E-06,-1.461138964,-0.008707047,2.77E-05,9.83E-07,54.57000732,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.10961181,0,1,0,25.71235657,-1.38E-06,40,-6.77E-07,51.28739548,0,-0.138883293,0.008516182,-7.39E-06,-1.461138964,-0.008707047,2.77E-05,9.83E-07,54.57000732,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.137477893,0,1,0,25.71235657,-1.38E-06,40,-6.77E-07,51.0155983,0,-0.138773665,0.008504158,-7.40E-06,-1.461138964,-0.008707047,2.77E-05,9.83E-07,54.57000732,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.165414953,0,1,0,25.71235657,-1.38E-06,40,-6.76E-07,50.7437973,0,-0.138698205,0.008496162,-7.41E-06,-1.461138964,-0.008707047,2.77E-05,9.83E-07,54.57000732,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.191361651,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,50.73029709,0,-0.138136476,0.008519674,-7.42E-06,-1.461173058,-0.008806229,2.77E-05,9.82E-07,57.44000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.219326702,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,50.71680069,0,-0.138211533,0.008534816,-7.43E-06,-1.461173058,-0.008806229,2.77E-05,9.82E-07,57.44000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.247229773,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,50.70330048,0,-0.138300136,0.008544995,-7.43E-06,-1.461173058,-0.008806229,2.77E-05,9.82E-07,57.44000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.272317745,0,1,0,25.71235657,-1.38E-06,40,-6.74E-07,50.68980026,0,-0.138361499,0.008552008,-7.44E-06,-1.461173058,-0.008806229,2.77E-05,9.82E-07,57.44000244,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.306080941,0,1,0,25.71235657,-1.38E-06,40,-6.75E-07,50.66189957,0,-0.139147237,0.008520186,-7.46E-06,-1.461132288,-0.008666992,2.77E-05,9.81E-07,57.42999268,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.335056669,0,1,0,25.71235657,-1.38E-06,40,-6.75E-07,50.91929626,0,-0.1390156,0.008496721,-7.47E-06,-1.461132288,-0.008666992,2.77E-05,9.81E-07,57.42999268,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.362018042,0,1,0,25.71235657,-1.39E-06,40,-6.75E-07,51.17669296,0,-0.138876095,0.008481374,-7.48E-06,-1.461132288,-0.008666992,2.77E-05,9.81E-07,57.42999268,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
